mim_number,mim_name,prefix
102200,"PITUITARY ADENOMA 1, MULTIPLE TYPES; PITA1",Number Sign
102300,"RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1; RLS1",Percent
102350,ACROMIAL DIMPLES,Percent
102370,ACROMICRIC DYSPLASIA; ACMICD,Number Sign
102400,ACROOSTEOLYSIS,
102480,ACROSIN; ACR,Asterisk
102490,MOVED TO 607323,Caret
102500,HAJDU-CHENEY SYNDROME; HJCYS,Number Sign
102510,ACROPECTOROVERTEBRAL DYSPLASIA; ACRPV,Percent
102520,ACRORENAL SYNDROME,
102525,ACROSOMAL VESICLE PROTEIN 1; ACRV1,Asterisk
102530,SPERMATOGENIC FAILURE 6; SPGF6,Number Sign
102540,"ACTIN, ALPHA, CARDIAC MUSCLE; ACTC1",Asterisk
102545,"ACTIN, GAMMA-2, SMOOTH MUSCLE, ENTERIC; ACTG2",Asterisk
102550,MOVED TO 102630,Caret
102560,"ACTIN, GAMMA-1; ACTG1",Asterisk
102565,FILAMIN C; FLNC,Asterisk
102570,REMOVED FROM DATABASE,Caret
102573,"ACTININ, ALPHA-2; ACTN2",Asterisk
102574,"ACTININ, ALPHA-3; ACTN3",Asterisk
102575,"ACTININ, ALPHA-1; ACTN1",Asterisk
102576,"ACTIVIN A RECEPTOR, TYPE I; ACVR1",Asterisk
102577,"REPLICATION FACTOR C, SUBUNIT 4; RFC4",Asterisk
102578,"ACUTE PROMYELOCYTIC LEUKEMIA, INDUCER OF; PML",Asterisk
102579,"REPLICATION FACTOR C, SUBUNIT 1; RFC1",Asterisk
102581,"ACTIVIN A RECEPTOR, TYPE IIA; ACVR2A",Asterisk
102582,SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 3; STAT3,Asterisk
102590,"ACYLASE, COBALT-ACTIVATED",
102593,ACYLOXYACYL HYDROLASE; AOAH,Asterisk
102595,"ACYLPHOSPHATASE 2, MUSCLE TYPE; ACYP2",Asterisk
102600,ADENINE PHOSPHORIBOSYLTRANSFERASE; APRT,Asterisk
102610,"ACTIN, ALPHA, SKELETAL MUSCLE 1; ACTA1",Asterisk
102620,"ACTIN, ALPHA-2, SMOOTH MUSCLE, AORTA; ACTA2",Asterisk
102630,"ACTIN, BETA; ACTB",Asterisk
102640,MOVED TO 102630,Caret
102642,STEROL O-ACYLTRANSFERASE 1; SOAT1,Asterisk
102645,ACYLPEPTIDE HYDROLASE; APH,Asterisk
102650,"ADACTYLIA, UNILATERAL",
102660,ADAMANTINOMA OF LONG BONES,
102670,MUCOSAL VASCULAR ADDRESSIN CELL ADHESION MOLECULE 1; MADCAM1,Asterisk
102680,ADDUCIN 1; ADD1,Asterisk
102681,ADDUCIN 2; ADD2,Asterisk
102699,ADENO-ASSOCIATED VIRUS INTEGRATION SITE 1; AAVS1,
102700,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY",Number Sign
102710,MOVED TO 102720,Caret
102720,DIPEPTIDYL PEPTIDASE IV; DPP4,Asterisk
102730,"ADENOSINE DEAMINASE, ELEVATED, HEMOLYTIC ANEMIA DUE TO",
102750,ADENOSINE KINASE; ADK,Asterisk
102770,ADENOSINE MONOPHOSPHATE DEAMINASE 1; AMPD1,Asterisk
102771,ADENOSINE MONOPHOSPHATE DEAMINASE 2; AMPD2,Asterisk
102772,ADENOSINE MONOPHOSPHATE DEAMINASE 3; AMPD3,Asterisk
102775,ADENOSINE A1 RECEPTOR; ADORA1,Asterisk
102776,ADENOSINE A2A RECEPTOR; ADORA2A,Asterisk
102777,ADENOSINE A2 RECEPTOR-LIKE; ADORA2L1,Asterisk
102800,"ADENOSINE TRIPHOSPHATASE DEFICIENCY, ANEMIA DUE TO",Percent
102900,"ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES",Number Sign
102910,"ATP SYNTHASE, H+ TRANSPORTING, MITOCHONDRIAL F1 COMPLEX, BETA SUBUNIT; ATP5F1B",Asterisk
102920,REMOVED FROM DATABASE,Caret
102930,REMOVED FROM DATABASE,Caret
102940,REMOVED FROM DATABASE,Caret
102970,REMOVED FROM DATABASE,Caret
102980,ADENYLATE CYCLASE-ACTIVATING POLYPEPTIDE 1; ADCYAP1,Asterisk
102981,"ADENYLATE CYCLASE-ACTIVATING POLYPEPTIDE 1, RECEPTOR FOR; ADCYAP1R1",Asterisk
102990,MOVED TO 145600,Caret
103000,ADENYLATE KINASE 1; AK1,Asterisk
103020,ADENYLATE KINASE 2; AK2,Asterisk
103030,ADENYLATE KINASE 3-LIKE 1; AK3L1,Asterisk
103050,ADENYLOSUCCINASE DEFICIENCY; ADSLD,Number Sign
103060,ADENYLOSUCCINATE SYNTHETASE; ADSS,Asterisk
103070,ADENYLATE CYCLASE 8; ADCY8,Asterisk
103071,ADENYLATE CYCLASE 2; ADCY2,Asterisk
103072,ADENYLATE CYCLASE 1; ADCY1,Asterisk
103100,ADIE PUPIL,Number Sign
103180,ADP-RIBOSYLATION FACTOR 1; ARF1,Asterisk
103188,ADP-RIBOSYLATION FACTOR 5; ARF5,Asterisk
103190,ADP-RIBOSYLATION FACTOR 3; ARF3,Asterisk
103195,PERILIPIN 2; PLIN2,Asterisk
103200,ADIPOSIS DOLOROSA,Percent
103220,"SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER 4; SLC25A4",Asterisk
103230,"ADRENOCORTICAL HYPOFUNCTION, CHRONIC PRIMARY CONGENITAL",
103260,FERREDOXIN 1; FDX1,Asterisk
103270,FERREDOXIN REDUCTASE; FDXR,Asterisk
103275,ADRENOMEDULLIN; ADM,Asterisk
103280,"H19, IMPRINTED MATERNALLY EXPRESSED NONCODING TRANSCRIPT; H19",Asterisk
103285,ADULT SYNDROME,Number Sign
103300,HYPOGLOSSIA-HYPODACTYLIA,Percent
103320,AGRIN; AGRN,Asterisk
103321,MOVED TO 128239,Caret
103390,AHNAK NUCLEOPROTEIN; AHNAK,Asterisk
103400,AINHUM,
103420,"ALACRIMA, CONGENITAL, AUTOSOMAL DOMINANT",Percent
103470,"ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS",Number Sign
103500,TIETZ ALBINISM-DEAFNESS SYNDROME; TADS,Number Sign
103580,"PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A",Number Sign
103581,MOVED TO 103580,Caret
103600,ALBUMIN; ALB,Asterisk
103700,"ALCOHOL DEHYDROGENASE 1A, CLASS I, ALPHA POLYPEPTIDE; ADH1A",Asterisk
103710,"ALCOHOL DEHYDROGENASE 5, CHI POLYPEPTIDE; ADH5",Asterisk
103720,"ALCOHOL DEHYDROGENASE 1B, CLASS I, BETA POLYPEPTIDE; ADH1B",Asterisk
103730,"ALCOHOL DEHYDROGENASE 1C, GAMMA POLYPEPTIDE; ADH1C",Asterisk
103735,ALCOHOL DEHYDROGENASE 6; ADH6,Asterisk
103740,ALCOHOL DEHYDROGENASE 4; ADH4,Asterisk
103780,ALCOHOL DEPENDENCE,Number Sign
103800,MOVED TO 253200 AND 258870,Caret
103830,"ALDO-KETO REDUCTASE FAMILY 1, MEMBER A1; AKR1A1",Asterisk
103850,"ALDOLASE A, FRUCTOSE-BISPHOSPHATE; ALDOA",Asterisk
103870,"ALDOLASE C, FRUCTOSE-BISPHOSPHATE; ALDOC",Asterisk
103880,"ALDO-KETO REDUCTASE FAMILY 1, MEMBER B1; AKR1B1",Asterisk
103890,ALDOSE REDUCTASE M; ARM,Asterisk
103900,"HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1",Number Sign
103920,"ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS, FAMILIAL",
103950,ALPHA-2-MACROGLOBULIN; A2M,Asterisk
104000,ALOPECIA AREATA 1; AA1,Percent
104100,PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1; PPKCA1,Number Sign
104110,"ALOPECIA, FAMILIAL FOCAL; ALPF",
104130,"ALOPECIA, PSYCHOMOTOR EPILEPSY, PYORRHEA, AND MENTAL SUBNORMALITY",Percent
104145,AFAMIN; AFM,Asterisk
104150,ALPHA-FETOPROTEIN; AFP,Asterisk
104155,ZINC FINGER HOMEOBOX 3; ZFHX3,Asterisk
104160,"GLUCOSIDASE, ALPHA, NEUTRAL AB; GANAB",Asterisk
104170,N-ACETYL-ALPHA-D-GALACTOSAMINIDASE; NAGA,Asterisk
104175,"GLYCOPROTEIN, ALPHA-GALACTOSYLTRANSFERASE 1 PSEUDOGENE; GGTA1P",Asterisk
104180,"GLUCOSIDASE, ALPHA, NEUTRAL C; GANC",Asterisk
104200,"ALPORT SYNDROME, AUTOSOMAL DOMINANT",Number Sign
104210,ALPHA-2A-ADRENERGIC RECEPTOR; ADRA2A,Asterisk
104219,ALPHA-1D-ADRENERGIC RECEPTOR; ADRA1D,Asterisk
104220,ALPHA-1B-ADRENERGIC RECEPTOR; ADRA1B,Asterisk
104221,ALPHA-1A-ADRENERGIC RECEPTOR; ADRA1A,Asterisk
104222,MOVED TO 104219,Caret
104225,LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN-ASSOCIATED PROTEIN 1; LRPAP1,Asterisk
104230,FUCOSYLTRANSFERASE 4; FUT4,Asterisk
104240,"ST3 BETA-GALACTOSIDE ALPHA-2,3-SIALYLTRANSFERASE 4; ST3GAL4",Asterisk
104250,ALPHA-2C-ADRENERGIC RECEPTOR; ADRA2C,Plus
104260,ALPHA-2B-ADRENERGIC RECEPTOR; ADRA2B,Asterisk
104290,ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1,Number Sign
104300,ALZHEIMER DISEASE; AD,Number Sign
104310,ALZHEIMER DISEASE 2; AD2,Number Sign
104311,PRESENILIN 1; PSEN1,Asterisk
104350,"AMASTIA, BILATERAL, WITH URETERAL TRIPLICATION AND DYSMORPHISM",
104400,AMELIA AND TERMINAL TRANSVERSE HEMIMELIA,
104500,"AMELOGENESIS IMPERFECTA, TYPE IB; AI1B",Number Sign
104510,"AMELOGENESIS IMPERFECTA, TYPE IV; AI4",Number Sign
104530,"AMELOGENESIS IMPERFECTA, TYPE IA; AI1A",Number Sign
104570,AMELOONYCHOHYPOHIDROTIC SYNDROME,Percent
104600,AMENORRHEA-GALACTORRHEA SYNDROME,
104610,AMILORIDE-BINDING PROTEIN 1; ABP1,Asterisk
104613,"CHAPERONIN CONTAINING T-COMPLEX POLYPEPTIDE 1, SUBUNIT 6A; CCT6A",Asterisk
104614,"SOLUTE CARRIER FAMILY 3 (CYSTINE, DIBASIC, AND NEUTRAL AMINO ACID TRANSPORTER), MEMBER 1; SLC3A1",Asterisk
104615,"SOLUTE CARRIER FAMILY 7 (CATIONIC AMINO ACID TRANSPORTER, y+ SYSTEM), MEMBER 1; SLC7A1",Asterisk
104620,AMINOACYLASE 1; ACY1,Asterisk
104640,AMPHIREGULIN; AREG,Asterisk
104650,"AMYLASE, PANCREATIC, A; AMY2A",Asterisk
104660,"AMYLASE, PANCREATIC, B; AMY2B",Asterisk
104700,"AMYLASE, SALIVARY, A; AMY1A",Asterisk
104701,"AMYLASE, SALIVARY, B; AMY1B",Asterisk
104702,"AMYLASE, SALIVARY, C; AMY1C",Asterisk
104740,MOVED TO 602414,Caret
104750,SERUM AMYLOID A1; SAA1,Asterisk
104751,SERUM AMYLOID A2; SAA2,Asterisk
104752,SERUM AMYLOID A4; SAA4,Asterisk
104760,AMYLOID BETA A4 PRECURSOR PROTEIN; APP,Asterisk
104770,"AMYLOID P COMPONENT, SERUM; APCS",Asterisk
104775,AMYLOID BETA A4 PRECURSOR-LIKE PROTEIN 1; APLP1,Asterisk
104776,AMYLOID BETA A4 PRECURSOR-LIKE PROTEIN 2; APLP2,Asterisk
105120,"AMYLOIDOSIS, FINNISH TYPE",Number Sign
105150,"CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED",Number Sign
105200,"AMYLOIDOSIS, FAMILIAL VISCERAL",Number Sign
105210,"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED",Number Sign
105250,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1; PLCA1",Number Sign
105300,AMYOTROPHIC DYSTONIC PARAPLEGIA,
105400,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,Number Sign
105500,AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1,Number Sign
105550,FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1; FTDALS1,Number Sign
105563,ANAL SPHINCTER DYSPLASIA; ASDP,
105565,"ANAL SPHINCTER MYOPATHY, INTERNAL",
105570,"ANDROSTENONE, ABILITY TO SMELL",
105580,ANAL CANAL CARCINOMA,
105590,ANAPLASTIC LYMPHOMA KINASE; ALK,Asterisk
105600,"ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE III; CDAN3",Percent
105650,DIAMOND-BLACKFAN ANEMIA 1; DBA1,Number Sign
105800,"ANEURYSM, INTRACRANIAL BERRY, 1; ANIB1",Percent
105805,ANEURYSM OF INTERVENTRICULAR SEPTUM,
105830,ANGELMAN SYNDROME; AS,Number Sign
105835,ANGEL-SHAPED PHALANGOEPIPHYSEAL DYSPLASIA; ASPED,
105850,ANGIOGENIN; ANG,Asterisk
106050,"ANGIOMA SERPIGINOSUM, AUTOSOMAL DOMINANT",
106070,"ANGIOMA, HEREDITARY NEUROCUTANEOUS",Percent
106100,"ANGIOEDEMA, HEREDITARY, TYPE I; HAE1",Number Sign
106150,ANGIOTENSINOGEN; AGT,Plus
106160,MOVED TO 106165,Caret
106165,ANGIOTENSIN RECEPTOR 1; AGTR1,Asterisk
106180,ANGIOTENSIN I-CONVERTING ENZYME; ACE,Plus
106190,"ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS; ANHD",Number Sign
106195,"SOLUTE CARRIER FAMILY 4 (ANION EXCHANGER), MEMBER 3; SLC4A3",Asterisk
106200,MOVED TO 106210,Caret
106210,ANIRIDIA 1; AN1,Number Sign
106220,ANIRIDIA AND ABSENT PATELLA,
106230,"ANIRIDIA, MICROCORNEA, AND SPONTANEOUSLY REABSORBED CATARACT",
106240,ANISOCORIA,
106250,ANKYLOBLEPHARON FILIFORME ADNATUM AND CLEFT PALATE; AFA,
106260,ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE,Number Sign
106280,ANKYLOGLOSSIA,
106300,"SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1; SPDA1",Number Sign
106400,ANKYLOSING VERTEBRAL HYPEROSTOSIS WITH TYLOSIS,
106410,ANKYRIN 2; ANK2,Asterisk
106490,ANNEXIN A3; ANXA3,Asterisk
106491,ANNEXIN A4; ANXA4,Asterisk
106500,ANNULAR ERYTHEMA,
106600,"TOOTH AGENESIS, SELECTIVE, 1; STHAG1",Number Sign
106700,TOTAL ANOMALOUS PULMONARY VENOUS RETURN 1; TAPVR1,Percent
106750,ANONYCHIA WITH FLEXURAL PIGMENTATION,
106900,ANONYCHIA-ECTRODACTYLY,
106990,ANONYCHIA-ONYCHODYSTROPHY WITH BRACHYDACTYLY TYPE B AND ECTRODACTYLY,
106995,ANONYCHIA-ONYCHODYSTROPHY WITH HYPOPLASIA OR ABSENCE OF DISTAL PHALANGES,Percent
107000,"NAIL DISORDER, NONSYNDROMIC CONGENITAL, 6; NDNC6",Percent
107100,ANORECTAL ANOMALIES,Percent
107200,"ANOSMIA, ISOLATED CONGENITAL; ANIC",Percent
107240,MOVED TO 116930,Caret
107250,ANTERIOR SEGMENT DYSGENESIS 1; ASGD1,Number Sign
107253,REMOVED FROM DATABASE,Caret
107254,ANTIGEN IDENTIFIED BY MONOCLONAL ANTIBODY 30.2A8; MIC12,Asterisk
107257,ANTIGEN MSK3 IDENTIFIED BY MONOCLONAL ANTIBODY M68; MSK3,Asterisk
107260,ANTIGEN MSK41 IDENTIFIED BY MONOCLONAL ANTIBODY E3; MSK41,Asterisk
107265,CD19 ANTIGEN; CD19,Asterisk
107266,CD22 ANTIGEN; CD22,Asterisk
107269,CD44 ANTIGEN; CD44,Asterisk
107270,CD38 ANTIGEN; CD38,Asterisk
107271,CD59 ANTIGEN; CD59,Asterisk
107272,CD72 ANTIGEN; CD72,Asterisk
107273,CD69 ANTIGEN; CD69,Asterisk
107280,"SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 3; SERPINA3",Asterisk
107285,SECRETORY LEUKOCYTE PROTEASE INHIBITOR; SLPI,Asterisk
107290,ANTIPYRINE METABOLISM,Percent
107300,"SERPIN PEPTIDASE INHIBITOR, CLADE C (ANTITHROMBIN), MEMBER 1; SERPINC1",Asterisk
107310,"SOLUTE CARRIER FAMILY 9, MEMBER 1; SLC9A1",Asterisk
107320,"ANTIPHOSPHOLIPID SYNDROME, FAMILIAL",
107323,"ALDEHYDE DEHYDROGENASE 7 FAMILY, MEMBER A1; ALDH7A1",Asterisk
107325,CD3-EPSILON-ASSOCIATED PROTEIN; CD3EAP,Asterisk
107400,"SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 1; SERPINA1",Asterisk
107410,"SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 2, PSEUDOGENE; SERPINA2P",
107440,"ANTIVIRAL STATE REPRESSOR, REGULATOR OF; AVRR",
107450,"INTERFERON-ALPHA, -BETA, AND -OMEGA RECEPTOR 1; IFNAR1",Asterisk
107460,MOVED TO 107450,Caret
107470,INTERFERON-GAMMA RECEPTOR 1; IFNGR1,Asterisk
107480,TOWNES-BROCKS SYNDROME 1; TBS1,Number Sign
107500,AORTIC ARCH ANOMALY WITH PECULIAR FACIES AND MENTAL RETARDATION,
107550,"AORTIC ARCH INTERRUPTION, FACIAL PALSY, AND RETINAL COLOBOMA",
107580,TRANSCRIPTION FACTOR AP2-ALPHA; TFAP2A,Asterisk
107600,"APLASIA CUTIS CONGENITA, NONSYNDROMIC; ACC",Number Sign
107601,MOVED TO 100300,Caret
107640,"APNEA, CENTRAL SLEEP",
107650,"APNEA, OBSTRUCTIVE SLEEP",Percent
107670,APOLIPOPROTEIN A-II; APOA2,Plus
107680,APOLIPOPROTEIN A-I; APOA1,Plus
107690,APOLIPOPROTEIN A-IV; APOA4,Asterisk
107700,"APPENDICITIS, PRONENESS TO",
107710,APOLIPOPROTEIN C-I; APOC1,Asterisk
107720,APOLIPOPROTEIN C-III; APOC3,Asterisk
107730,APOLIPOPROTEIN B; APOB,Plus
107740,APOLIPOPROTEIN D; APOD,Asterisk
107741,APOLIPOPROTEIN E; APOE,Asterisk
107748,APEX NUCLEASE 1; APEX1,Asterisk
107750,ARBITRARY RESTRICTION POLYMORPHISM 1,Number Sign
107760,APOLIPOPROTEIN F; APOF,Asterisk
107770,LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 1; LRP1,Asterisk
107773,"NUCLEAR RECEPTOR SUBFAMILY 2, GROUP F, MEMBER 2; NR2F2",Asterisk
107776,AQUAPORIN 1; AQP1,Asterisk
107777,AQUAPORIN 2; AQP2,Asterisk
107800,ARCUS CORNEAE,
107820,ARGINYL-tRNA SYNTHETASE; RARS,Asterisk
107830,ARGINASE 2; ARG2,Asterisk
107840,MOVED TO 215700,Caret
107850,ARM FOLDING PREFERENCE,
107900,"ARMS, MALFORMATION OF",
107910,"CYTOCHROME P450, FAMILY 19, SUBFAMILY A, POLYPEPTIDE 1; CYP19A1",Asterisk
107920,AROMATIC ALPHA-KETO ACID REDUCTASE,
107930,DOPA DECARBOXYLASE; DDC,Asterisk
107940,"ARRESTIN, BETA, 1; ARRB1",Asterisk
107941,"ARRESTIN, BETA, 2; ARRB2",Asterisk
107950,MOVED TO 138800,Caret
107970,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1",Number Sign
108000,"ARTERIES, ANOMALIES OF",
108010,ARTERIOVENOUS MALFORMATIONS OF THE BRAIN,Number Sign
108050,"ARTERITIS, FAMILIAL GRANULOMATOUS, WITH JUVENILE POLYARTHRITIS",
108100,"ARTHRITIS, SACROILIAC",
108110,MOVED TO 108120,Caret
108120,"ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A",Number Sign
108130,MOVED TO 601680,Caret
108140,MOVED TO 601680,Caret
108145,"ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5",Number Sign
108200,"ARTHROGRYPOSIS, DISTAL, TYPE 6; DA6",
108300,"STICKLER SYNDROME, TYPE I; STL1",Number Sign
108320,"ARTICHOKE, MODIFICATION OF TASTE BY",
108330,"CYTOCHROME P450, SUBFAMILY I, POLYPEPTIDE 1; CYP1A1",Asterisk
108340,ARYL HYDROCARBON HYDROXYLASE INDUCIBILITY,Percent
108345,N-ACETYLTRANSFERASE 1; NAT1,Asterisk
108355,GROWTH FACTOR RECEPTOR-BOUND PROTEIN 2; GRB2,Asterisk
108360,ASIALOGLYCOPROTEIN RECEPTOR 1; ASGR1,Asterisk
108361,ASIALOGLYCOPROTEIN RECEPTOR 2; ASGR2,Asterisk
108370,ASPARAGINE SYNTHETASE; ASNS,Asterisk
108390,"ASPARAGUS, SPECIFIC SMELL HYPERSENSITIVITY",Percent
108400,REMOVED FROM DATABASE,Caret
108410,ASPARAGINYL-tRNA SYNTHETASE; NARS,Asterisk
108420,SPERMATOGENIC FAILURE 2; SPGF2,Percent
108450,ASYMMETRIC SHORT STATURE SYNDROME,
108500,"EPISODIC ATAXIA, TYPE 2; EA2",Number Sign
108600,"SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT; SPAX1",Number Sign
108650,"SPASTIC ATAXIA 7, AUTOSOMAL DOMINANT; SPAX7",Percent
108700,ATAXIA WITH FASCICULATIONS,
108720,"ATELOSTEOGENESIS, TYPE I; AO1",Number Sign
108721,"ATELOSTEOGENESIS, TYPE III; AO3",Number Sign
108725,ATHEROSCLEROSIS SUSCEPTIBILITY; ATHS,Percent
108728,ATP CITRATE LYASE; ACLY,Asterisk
108729,"ATP SYNTHASE, H+ TRANSPORTING, MITOCHONDRIAL F1 COMPLEX, GAMMA SUBUNIT 1; ATP5F1C",Asterisk
108730,"ATPase, Ca(2+)-TRANSPORTING, FAST-TWITCH 1; ATP2A1",Asterisk
108731,"ATPase, Ca(2+)-TRANSPORTING, PLASMA MEMBRANE, 1; ATP2B1",Asterisk
108732,"ATPase, Ca(2+)-TRANSPORTING, PLASMA MEMBRANE, 4; ATP2B4",Asterisk
108733,"ATPase, Ca(2+)-TRANSPORTING, PLASMA MEMBRANE, 2; ATP2B2",Asterisk
108740,"ATPase, Ca(2+)-TRANSPORTING, SLOW-TWITCH; ATP2A2",Asterisk
108745,"ATPase, H+ TRANSPORTING, LYSOSOMAL, 16-KD, V0 SUBUNIT C; ATP6V0C",Asterisk
108746,"ATPase, H+ TRANSPORTING, LYSOSOMAL, 31-KD, V1 SUBUNIT E, ISOFORM 1; ATP6V1E1",Asterisk
108760,ATRESIA OF EXTERNAL AUDITORY CANAL AND CONDUCTIVE DEAFNESS,Percent
108770,ATRIAL STANDSTILL 1; ATRST1,Number Sign
108780,NATRIURETIC PEPTIDE PRECURSOR A; NPPA,Asterisk
108800,ATRIAL SEPTAL DEFECT 1; ASD1,Percent
108900,ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS; ASD7,Number Sign
108950,ATRIAL TACHYARRHYTHMIA WITH SHORT PR INTERVAL,
108960,NATRIURETIC PEPTIDE RECEPTOR A/GUANYLATE CYCLASE A; NPR1,Asterisk
108961,NATRIURETIC PEPTIDE RECEPTOR 2; NPR2,Asterisk
108962,NATRIURETIC PEPTIDE RECEPTOR C; NPR3,Asterisk
108970,MOVED TO 120520,Caret
108980,"PR INTERVAL, VARIATION IN",Percent
108985,SVEINSSON CHORIORETINAL ATROPHY; SCRA,Number Sign
108990,ATTACHED CELL ANTIGEN 28.3.7; MIC7,Asterisk
109000,AURICULOOSTEODYSPLASIA,Percent
109050,AUROCEPHALOSYNDACTYLY,
109090,SJOGREN SYNDROME ANTIGEN B; SSB,Asterisk
109091,CALRETICULIN; CALR,Asterisk
109092,TRIPARTITE MOTIF-CONTAINING PROTEIN 21; TRIM21,Asterisk
109100,AUTOIMMUNE DISEASE,Number Sign
109110,AUTONOMOUSLY REPLICATING SEQUENCE 1,Asterisk
109120,"AXENFELD-RIEGER ANOMALY WITH PARTIALLY ABSENT EYE MUSCLES, DISTINCTIVE FACE, HYDROCEPHALY, AND SKELETAL ABNORMALITIES",
